,group_from_hypermodel_param_names,group_from_model_param_names
22,J2043+1711_dm_gp_log10_p,J2043+1711_dm_gp_log10_p
23,J2043+1711_dm_gp_log10_sigma,J2043+1711_dm_gp_log10_sigma
24,J2043+1711_red_noise_gamma,J2043+1711_red_noise_gamma
25,J2043+1711_red_noise_log10_A,J2043+1711_red_noise_log10_A
26,n_earth,n_earth
27,-,-
28,J2043+1711_red_noise_log10_A,J2043+1711_red_noise_log10_A
29,J2043+1711_red_noise_gamma,J2043+1711_red_noise_gamma
30,-,-
31,J2043+1711_dm_gp_log10_sigma,J2043+1711_dm_gp_log10_sigma
32,J2043+1711_dm_gp_log10_ell,J2043+1711_dm_gp_log10_ell
33,J2043+1711_dm_gp_log10_gam_p,J2043+1711_dm_gp_log10_gam_p
34,J2043+1711_dm_gp_log10_p,J2043+1711_dm_gp_log10_p
35,-,-
36,J2043+1711_dm_cusp_1_log10_Amp,J2043+1711_dm_cusp_1_log10_Amp
37,J2043+1711_dm_cusp_1_t0,J2043+1711_dm_cusp_1_t0
38,J2043+1711_dm_cusp_1_log10_tau_pre,J2043+1711_dm_cusp_1_log10_tau_pre
39,J2043+1711_dm_cusp_1_log10_tau_post,J2043+1711_dm_cusp_1_log10_tau_post
40,-,-
41,J2043+1711_dm_cusp_2_log10_Amp,J2043+1711_dm_cusp_2_log10_Amp
42,J2043+1711_dm_cusp_2_t0,J2043+1711_dm_cusp_2_t0
43,J2043+1711_dm_cusp_2_log10_tau_pre,J2043+1711_dm_cusp_2_log10_tau_pre
44,J2043+1711_dm_cusp_2_log10_tau_post,J2043+1711_dm_cusp_2_log10_tau_post
45,-,-
46,n_earth,n_earth
47,-,-
